Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
RIVERCOVE RESIDENCES,"1,048,500","1,076.40",974,14-Apr-18,38 ANCHORVALE LANE #08-35,New Sale,Strata,100,"10,485",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,073,000","1,108.69",968,14-Apr-18,28 ANCHORVALE LANE #10-16,New Sale,Strata,103,"10,417",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544588,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,391,900","1,485.43",937,14-Apr-18,40 ANCHORVALE LANE #03-39,New Sale,Strata,138,"10,086",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,168,000","1,184.04",986,14-Apr-18,36 ANCHORVALE LANE #09-30,New Sale,Strata,110,"10,618",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,055,000","1,108.69",952,14-Apr-18,20 ANCHORVALE LANE #07-02,New Sale,Strata,103,"10,243",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544584,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"882,800",904.18,976,14-Apr-18,20 ANCHORVALE LANE #13-03,New Sale,Strata,84,"10,510",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544584,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,445,900","1,485.43",973,14-Apr-18,40 ANCHORVALE LANE #12-39,New Sale,Strata,138,"10,478",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"951,800",958,994,14-Apr-18,20 ANCHORVALE LANE #08-01,New Sale,Strata,89,"10,694",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544584,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"858,600",904.18,950,14-Apr-18,26 ANCHORVALE LANE #09-12,New Sale,Strata,84,"10,221",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544587,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,082,000","1,108.69",976,14-Apr-18,26 ANCHORVALE LANE #11-10,New Sale,Strata,103,"10,505",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544587,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,044,700","1,076.40",971,14-Apr-18,32 ANCHORVALE LANE #09-22,New Sale,Strata,100,"10,447",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"965,300",958,"1,008",14-Apr-18,38 ANCHORVALE LANE #11-36,New Sale,Strata,89,"10,846",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,106,600","1,184.04",935,14-Apr-18,28 ANCHORVALE LANE #04-15,New Sale,Strata,110,"10,060",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544588,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,112,200","1,162.51",957,14-Apr-18,22 ANCHORVALE LANE #13-08,New Sale,Strata,108,"10,298",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544585,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"904,200",904.18,"1,000",14-Apr-18,26 ANCHORVALE LANE #10-09,New Sale,Strata,84,"10,764",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544587,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,451,900","1,485.43",977,14-Apr-18,40 ANCHORVALE LANE #13-39,New Sale,Strata,138,"10,521",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,360,600","1,485.43",916,14-Apr-18,34 ANCHORVALE LANE #05-27,New Sale,Strata,138,"9,859",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"969,800",958,"1,012",14-Apr-18,40 ANCHORVALE LANE #12-37,New Sale,Strata,89,"10,897",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"942,800",958,984,14-Apr-18,38 ANCHORVALE LANE #07-36,New Sale,Strata,89,"10,593",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,427,500","1,485.43",961,14-Apr-18,40 ANCHORVALE LANE #02-39,New Sale,Strata,138,"10,344",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,041,300","1,076.40",967,14-Apr-18,36 ANCHORVALE LANE #15-31,New Sale,Strata,100,"10,413",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"924,800",958,965,14-Apr-18,34 ANCHORVALE LANE #03-28,New Sale,Strata,89,"10,391",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,061,300","1,076.40",986,14-Apr-18,34 ANCHORVALE LANE #12-26,New Sale,Strata,100,"10,613",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"876,300",958,915,14-Apr-18,30 ANCHORVALE LANE #02-20,New Sale,Strata,89,"9,846",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,052,300","1,076.40",978,14-Apr-18,34 ANCHORVALE LANE #10-26,New Sale,Strata,100,"10,523",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"947,300",958,989,14-Apr-18,40 ANCHORVALE LANE #01-40,New Sale,Strata,89,"10,644",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,275,400","1,280.92",996,14-Apr-18,32 ANCHORVALE LANE #12-23,New Sale,Strata,119,"10,718",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,342,600","1,485.43",904,14-Apr-18,34 ANCHORVALE LANE #01-27,New Sale,Strata,138,"9,729",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"938,100",958,979,14-Apr-18,30 ANCHORVALE LANE #09-17,New Sale,Strata,89,"10,540",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,065,000","1,108.69",961,14-Apr-18,32 ANCHORVALE LANE #07-21,New Sale,Strata,103,"10,340",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"960,800",958,"1,003",14-Apr-18,40 ANCHORVALE LANE #06-40,New Sale,Strata,89,"10,796",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
NORTHWAVE,"836,000","1,001.05",835,14-Apr-18,109 WOODLANDS VIEW #08-18,New Sale,Strata,93,"8,989",-,Executive Condominium,1,99 yrs from 25/05/2015,Uncompleted,N.A,737712,25,73,North Region,Woodlands
RIVERCOVE RESIDENCES,"1,032,300","1,076.40",959,14-Apr-18,36 ANCHORVALE LANE #13-31,New Sale,Strata,100,"10,323",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"938,100",958,979,14-Apr-18,36 ANCHORVALE LANE #09-32,New Sale,Strata,89,"10,540",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,107,700","1,162.51",953,14-Apr-18,32 ANCHORVALE LANE #12-24,New Sale,Strata,108,"10,256",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,123,000","1,184.04",948,14-Apr-18,36 ANCHORVALE LANE #03-30,New Sale,Strata,110,"10,209",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,107,700","1,162.51",953,14-Apr-18,22 ANCHORVALE LANE #12-08,New Sale,Strata,108,"10,256",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544585,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,116,700","1,162.51",961,14-Apr-18,22 ANCHORVALE LANE #14-08,New Sale,Strata,108,"10,340",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544585,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,245,000","1,280.92",972,14-Apr-18,38 ANCHORVALE LANE #07-34,New Sale,Strata,119,"10,462",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"921,300",958,962,14-Apr-18,30 ANCHORVALE LANE #11-20,New Sale,Strata,89,"10,352",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"938,300",958,979,14-Apr-18,38 ANCHORVALE LANE #06-36,New Sale,Strata,89,"10,543",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,463,900","1,485.43",986,14-Apr-18,40 ANCHORVALE LANE #15-39,New Sale,Strata,138,"10,608",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,438,600","1,485.43",968,14-Apr-18,34 ANCHORVALE LANE #15-27,New Sale,Strata,138,"10,425",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"956,300",958,998,14-Apr-18,36 ANCHORVALE LANE #09-29,New Sale,Strata,89,"10,745",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,089,900","1,162.51",938,14-Apr-18,32 ANCHORVALE LANE #02-24,New Sale,Strata,108,"10,092",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"885,300",958,924,14-Apr-18,20 ANCHORVALE LANE #01-04,New Sale,Strata,89,"9,947",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544584,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"876,300",958,915,14-Apr-18,20 ANCHORVALE LANE #02-04,New Sale,Strata,89,"9,846",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544584,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,295,000","1,280.92","1,011",14-Apr-18,38 ANCHORVALE LANE #16-34,New Sale,Strata,119,"10,882",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,076,200","1,162.51",926,14-Apr-18,22 ANCHORVALE LANE #06-08,New Sale,Strata,108,"9,965",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544585,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,036,800","1,076.40",963,14-Apr-18,30 ANCHORVALE LANE #14-19,New Sale,Strata,100,"10,368",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"938,300",958,979,14-Apr-18,34 ANCHORVALE LANE #06-25,New Sale,Strata,89,"10,543",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,183,000","1,184.04",999,14-Apr-18,36 ANCHORVALE LANE #12-30,New Sale,Strata,110,"10,755",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,096,500","1,108.69",989,14-Apr-18,32 ANCHORVALE LANE #13-21,New Sale,Strata,103,"10,646",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"872,200",904.18,965,14-Apr-18,26 ANCHORVALE LANE #01-09,New Sale,Strata,84,"10,383",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544587,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"911,100",958,951,14-Apr-18,36 ANCHORVALE LANE #04-32,New Sale,Strata,89,"10,237",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,146,200","1,216.33",942,14-Apr-18,28 ANCHORVALE LANE #06-14,New Sale,Strata,113,"10,143",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544588,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,094,200","1,162.51",941,14-Apr-18,32 ANCHORVALE LANE #09-24,New Sale,Strata,108,"10,131",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,166,200","1,216.33",959,14-Apr-18,28 ANCHORVALE LANE #09-14,New Sale,Strata,113,"10,320",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544588,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,243,300","1,280.92",971,14-Apr-18,32 ANCHORVALE LANE #13-23,New Sale,Strata,119,"10,448",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"920,100",958,960,14-Apr-18,30 ANCHORVALE LANE #06-17,New Sale,Strata,89,"10,338",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"854,800",904.18,945,14-Apr-18,20 ANCHORVALE LANE #07-03,New Sale,Strata,84,"10,176",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544584,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,030,500","1,076.40",957,14-Apr-18,38 ANCHORVALE LANE #05-35,New Sale,Strata,100,"10,305",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,110,000","1,108.69","1,001",14-Apr-18,28 ANCHORVALE LANE #16-13,New Sale,Strata,103,"10,777",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544588,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"991,800","1,076.40",921,14-Apr-18,30 ANCHORVALE LANE #05-19,New Sale,Strata,100,"9,918",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,016,300","1,076.40",944,14-Apr-18,40 ANCHORVALE LANE #04-38,New Sale,Strata,100,"10,163",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,077,500","1,108.69",972,14-Apr-18,28 ANCHORVALE LANE #11-16,New Sale,Strata,103,"10,461",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544588,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,458,400","1,485.43",982,14-Apr-18,40 ANCHORVALE LANE #07-39,New Sale,Strata,138,"10,568",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"938,300",958,979,14-Apr-18,40 ANCHORVALE LANE #06-37,New Sale,Strata,89,"10,543",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"996,300","1,076.40",926,14-Apr-18,30 ANCHORVALE LANE #06-19,New Sale,Strata,100,"9,963",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,196,200","1,216.33",983,14-Apr-18,28 ANCHORVALE LANE #15-14,New Sale,Strata,113,"10,586",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544588,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,106,600","1,184.04",935,14-Apr-18,30 ANCHORVALE LANE #04-18,New Sale,Strata,110,"10,060",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,066,500","1,076.40",991,14-Apr-18,38 ANCHORVALE LANE #12-35,New Sale,Strata,100,"10,665",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"996,800",958,"1,041",14-Apr-18,40 ANCHORVALE LANE #13-40,New Sale,Strata,89,"11,200",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,023,300","1,076.40",951,14-Apr-18,30 ANCHORVALE LANE #11-19,New Sale,Strata,100,"10,233",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"961,800",958,"1,004",14-Apr-18,38 ANCHORVALE LANE #05-36,New Sale,Strata,89,"10,807",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,469,900","1,485.43",990,14-Apr-18,40 ANCHORVALE LANE #16-39,New Sale,Strata,138,"10,651",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"980,400",958,"1,023",14-Apr-18,40 ANCHORVALE LANE #04-40,New Sale,Strata,89,"11,016",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,159,300","1,216.33",953,14-Apr-18,26 ANCHORVALE LANE #10-11,New Sale,Strata,113,"10,259",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544587,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"991,800","1,076.40",921,14-Apr-18,36 ANCHORVALE LANE #05-31,New Sale,Strata,100,"9,918",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,009,800","1,076.40",938,14-Apr-18,30 ANCHORVALE LANE #08-19,New Sale,Strata,100,"10,098",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,060,500","1,108.69",957,14-Apr-18,32 ANCHORVALE LANE #06-21,New Sale,Strata,103,"10,296",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"947,100",958,989,14-Apr-18,36 ANCHORVALE LANE #11-32,New Sale,Strata,89,"10,642",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,071,700","1,162.51",922,14-Apr-18,32 ANCHORVALE LANE #05-24,New Sale,Strata,108,"9,923",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"980,400",958,"1,023",14-Apr-18,38 ANCHORVALE LANE #08-36,New Sale,Strata,89,"11,016",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"871,000",904.18,963,14-Apr-18,22 ANCHORVALE LANE #06-07,New Sale,Strata,84,"10,369",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544585,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,114,300","1,216.33",916,14-Apr-18,26 ANCHORVALE LANE #04-11,New Sale,Strata,113,"9,861",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544587,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,062,000","1,076.40",987,14-Apr-18,38 ANCHORVALE LANE #11-35,New Sale,Strata,100,"10,620",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"938,300",958,979,14-Apr-18,36 ANCHORVALE LANE #06-29,New Sale,Strata,89,"10,543",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544592,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,133,000","1,108.69","1,022",14-Apr-18,28 ANCHORVALE LANE #16-16,New Sale,Strata,103,"11,000",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544588,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"974,300",958,"1,017",14-Apr-18,40 ANCHORVALE LANE #08-40,New Sale,Strata,89,"10,947",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"965,300",958,"1,008",14-Apr-18,40 ANCHORVALE LANE #07-40,New Sale,Strata,89,"10,846",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,071,000","1,076.40",995,14-Apr-18,38 ANCHORVALE LANE #13-35,New Sale,Strata,100,"10,710",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"933,800",958,975,14-Apr-18,34 ANCHORVALE LANE #05-28,New Sale,Strata,89,"10,492",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"942,800",958,984,14-Apr-18,34 ANCHORVALE LANE #07-25,New Sale,Strata,89,"10,593",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"996,300","1,076.40",926,14-Apr-18,32 ANCHORVALE LANE #06-22,New Sale,Strata,100,"9,963",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,073,000","1,108.69",968,14-Apr-18,20 ANCHORVALE LANE #10-02,New Sale,Strata,103,"10,417",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544584,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,179,300","1,216.33",970,14-Apr-18,26 ANCHORVALE LANE #14-11,New Sale,Strata,113,"10,436",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544587,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"991,800","1,076.40",921,14-Apr-18,32 ANCHORVALE LANE #05-22,New Sale,Strata,100,"9,918",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544590,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"947,300",958,989,14-Apr-18,38 ANCHORVALE LANE #01-33,New Sale,Strata,89,"10,644",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,261,800","1,280.92",985,14-Apr-18,38 ANCHORVALE LANE #03-34,New Sale,Strata,119,"10,603",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,047,800","1,076.40",973,14-Apr-18,40 ANCHORVALE LANE #09-38,New Sale,Strata,100,"10,478",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,432,600","1,485.43",964,14-Apr-18,34 ANCHORVALE LANE #14-27,New Sale,Strata,138,"10,381",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,230,000","1,280.92",960,14-Apr-18,38 ANCHORVALE LANE #04-34,New Sale,Strata,119,"10,336",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544593,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,129,500","1,184.04",954,14-Apr-18,30 ANCHORVALE LANE #02-18,New Sale,Strata,110,"10,268",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"870,800",904.18,963,14-Apr-18,20 ANCHORVALE LANE #10-03,New Sale,Strata,84,"10,367",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544584,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"880,200",904.18,973,14-Apr-18,26 ANCHORVALE LANE #05-09,New Sale,Strata,84,"10,479",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544587,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,116,600","1,184.04",943,14-Apr-18,30 ANCHORVALE LANE #06-18,New Sale,Strata,110,"10,151",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,N.A,544589,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"960,800",958,"1,003",14-Apr-18,34 ANCHORVALE LANE #10-28,New Sale,Strata,89,"10,796",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,Private,544591,19,54,North East Region,Sengkang
RIVERCOVE RESIDENCES,"1,025,300","1,076.40",953,14-Apr-18,40 ANCHORVALE LANE #05-38,New Sale,Strata,100,"10,253",-,Executive Condominium,1,99 yrs from 05/12/2016,Uncompleted,HDB,544594,19,54,North East Region,Sengkang
