Project Name,Transacted Price ($),Strata/Land Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Strata/Land Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
CARROS CENTRE,"1,488,570","1,711.48",870,03 Nov 2021,60 JALAN LAM HUAT #03-10,Resale,Strata,159,"9,362",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
NOBLE LOGISTICS,"892,800","1,550.02",576,08 Nov 2021,49 TANNERY LANE #04-02,Resale,Strata,144,"6,200",Warehouse,Freehold,13,34,347796,Central Region,Geylang
OXLEY BIZHUB,"740,000","1,560.78",474,09 Nov 2021,65 UBI ROAD 1 #04-27,Resale,Strata,145,"5,103",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
THE WESTCOM,"1,350,000","6,113.95",221,10 Nov 2021,"1 TUAS SOUTH AVENUE 6 #03-21,22",Resale,Strata,568,"2,377",Warehouse,60 yrs from 09/07/1996,22,63,637021,West Region,Tuas
OXLEY BIZHUB,"790,000","1,689.95",467,12 Nov 2021,61 UBI ROAD 1 #04-17,Resale,Strata,157,"5,032",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
SHUN LI INDUSTRIAL COMPLEX,"1,803,000","1,711.48","1,053",16 Nov 2021,705 SIMS DRIVE #01-06,Resale,Strata,159,"11,340",Warehouse,Freehold,14,38,387384,Central Region,Geylang
ELITE INDUSTRIAL BUILDING II,"2,129,760","3,132.32",680,19 Nov 2021,47 TANNERY LANE #05-02,Resale,Strata,291,"7,319",Warehouse,Freehold,13,34,347794,Central Region,Geylang
N.A.,"16,500,000","10,930.84","1,509",19 Nov 2021,6 JALAN LEMBAH KALLANG,Resale,Land,"1,015.5","16,248",Warehouse,99 yrs from 01/01/1965,12,33,339562,Central Region,Kallang
INTREPID WAREHOUSE COMPLEX,"1,880,000","9,396.97",200,22 Nov 2021,221 UBI AVENUE 4,Resale,Strata,873,"2,153",Warehouse,60 yrs from 19/10/1982,14,40,408812,Central Region,Geylang
ELITE INDUSTRIAL BUILDING I,"1,010,000","1,420.85",711,30 Nov 2021,32 KALLANG PUDDING ROAD #05-03,Resale,Strata,132,"7,652",Warehouse,Freehold,13,34,349313,Central Region,Geylang
CITILINK WAREHOUSE COMPLEX,"1,600,000","1,614.6",991,01 Dec 2021,102F PASIR PANJANG ROAD #06-08,Resale,Strata,150,"10,667",Warehouse,Freehold,05,11,118530,Central Region,Queenstown
N.A.,"24,500,000","92,693.11",264,02 Dec 2021,9 CHANGI SOUTH STREET 2,Resale,Land,"8,611.4","2,845",Warehouse,30+30 yrs from 16/10/1994,16,48,486631,East Region,Tampines
LIBERTY WAREHOUSE,"620,010","1,119.46",554,02 Dec 2021,220 TAGORE LANE #03-16,Resale,Strata,104,"5,962",Warehouse,Freehold,26,78,787600,North East Region,Ang Mo Kio
OXLEY BIZHUB,"740,000","1,248.62",593,10 Dec 2021,65 UBI ROAD 1 #02-84,Resale,Strata,116,"6,379",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
OXLEY BIZHUB,"1,250,000","1,980.58",631,13 Dec 2021,65 UBI ROAD 1 #01-89,Resale,Strata,184,"6,793",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
OXLEY BIZHUB,"660,000","1,033.34",639,13 Dec 2021,61 UBI ROAD 1 #03-28,Resale,Strata,96,"6,875",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
INNOVATION PLACE,"1,800,000","2,734.06",658,15 Dec 2021,31 MANDAI ESTATE #01-03,Resale,Strata,254,"7,087",Warehouse,Freehold,25,72,729933,North Region,Sungei Kadut
VERTEX,"1,825,000","3,046.21",599,15 Dec 2021,33 UBI AVENUE 3 #01-39,Resale,Strata,283,"6,449",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
VERTEX,"1,825,000","3,046.21",599,15 Dec 2021,33 UBI AVENUE 3 #01-40,Resale,Strata,283,"6,449",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
TAGORE BUILDING,"1,371,500","2,109.74",650,17 Dec 2021,6 TAGORE DRIVE #02-20,Resale,Strata,196,"6,997",Warehouse,Freehold,26,78,787623,North East Region,Ang Mo Kio
OXLEY BIZHUB,"710,000","1,140.98",622,21 Dec 2021,61 UBI ROAD 1 #02-19,Resale,Strata,106,"6,698",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
N.A.,"11,636,896","403,401.35",29,22 Dec 2021,301 JALAN AHMAD IBRAHIM,Resale,Land,"37,476.9",311,Warehouse,30+10 yrs from 01/04/2001,22,63,639526,West Region,Tuas
JOO SENG WAREHOUSE,"1,340,000","2,109.74",635,23 Dec 2021,1 UPPER ALJUNIED LINK #08-05,Resale,Strata,196,"6,837",Warehouse,Freehold,13,36,367901,Central Region,Toa Payoh
OXLEY BIZHUB,"630,000",958,658,27 Dec 2021,65 UBI ROAD 1 #03-53,Resale,Strata,89,"7,079",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
TANNERY HOUSE,"1,400,000","1,980.58",707,30 Dec 2021,37 TANNERY LANE #05-03,Resale,Strata,184,"7,609",Warehouse,Freehold,13,34,347790,Central Region,Geylang
LAM CHUAN BUILDING,"9,500,000","5,366.93","1,770",03 Jan 2022,14 TAGORE LANE,Resale,Land,498.6,"19,053",Warehouse,Freehold,26,78,787475,North East Region,Ang Mo Kio
JOO SENG WAREHOUSE,"2,400,000","3,498.3",686,03 Jan 2022,1 UPPER ALJUNIED LINK #04-06,Resale,Strata,325,"7,385",Warehouse,Freehold,13,36,367901,Central Region,Toa Payoh
JOO SENG WAREHOUSE,"2,400,000","3,498.3",686,03 Jan 2022,1 UPPER ALJUNIED LINK #06-06,Resale,Strata,325,"7,385",Warehouse,Freehold,13,36,367901,Central Region,Toa Payoh
NOBLE LOGISTICS,"1,000,000","1,550.02",645,04 Jan 2022,49 TANNERY LANE #06-06,Resale,Strata,144,"6,944",Warehouse,Freehold,13,34,347796,Central Region,Geylang
