Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PEOPLE'S PARK CENTRE,"600,000",473.62,"1,267",20 Feb 2018,101A UPPER CROSS STREET #08-20,Resale,Strata,44,"13,636",Office,99 yrs from 02/06/1970,01,05,058358,Central Region,Outram
VISION EXCHANGE,"3,077,000","1,442.38","2,133",20 Feb 2018,2 VENTURE DRIVE #15-22,Resale,Strata,134,"22,963",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
SOUTHBANK,"1,280,000",882.65,"1,450",21 Feb 2018,883 NORTH BRIDGE ROAD #09-02,Resale,Strata,82,"15,610",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
INTERNATIONAL PLAZA,"886,000",473.62,"1,871",22 Feb 2018,10 ANSON ROAD #29-03,Resale,Strata,44,"20,136",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
GOLDEN MILE TOWER,"550,000",409.03,"1,345",26 Feb 2018,6001 BEACH ROAD #02-04,Resale,Strata,38,"14,474",Office,99 yrs from 09/06/1969,07,19,199589,Central Region,Kallang
N.A.,"37,000,000","8,627.35","4,289",27 Feb 2018,"23,27,29,31,33 NEW BRIDGE ROAD",Resale,Land,801.5,"46,163",Office,99 yrs from 01/05/1938,01,05,059394,Central Region,Singapore River
ICON@CHANGI,"620,000",430.56,"1,440",27 Feb 2018,228 CHANGI ROAD #05-02,Resale,Strata,40,"15,500",Office,Freehold,14,41,419741,Central Region,Geylang
PAYA LEBAR SQUARE,"2,600,000","1,259.39","2,064",27 Feb 2018,60 PAYA LEBAR ROAD #07-20,Resale,Strata,117,"22,222",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"2,364,485","1,087.16","2,175",28 Feb 2018,"60 PAYA LEBAR ROAD #12-14,15",Resale,Strata,101,"23,411",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
ORCHARD SHOPPING CENTRE,"1,900,000",753.48,"2,522",01 Mar 2018,321 ORCHARD ROAD #07-03,Resale,Strata,70,"27,143",Office,Freehold,09,23,238866,Central Region,Orchard
PARKWAY CENTRE,"1,150,000",828.83,"1,388",02 Mar 2018,1 MARINE PARADE CENTRAL #11-03,Resale,Strata,77,"14,935",Office,99 yrs from 23/07/1981,15,44,449408,Central Region,Marine Parade
INTERNATIONAL PLAZA,"1,685,650",936.47,"1,800",02 Mar 2018,10 ANSON ROAD #27-10,Resale,Strata,87,"19,375",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
MAXWELL HOUSE,"660,000",387.5,"1,703",09 Mar 2018,20 MAXWELL ROAD #02-04,Resale,Strata,36,"18,333",Office,99 yrs from 02/06/1969,01,06,069113,Central Region,Outram
VISION EXCHANGE,"1,080,000",516.67,"2,090",12 Mar 2018,2 VENTURE DRIVE #07-27,Resale,Strata,48,"22,500",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
GOLDEN MILE COMPLEX,"318,000",204.52,"1,555",13 Mar 2018,5001 BEACH ROAD #08-41,Resale,Strata,19,"16,737",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Kallang
